# Convergence Analysis - Binomial with Black-Scholes
# Generated: 2025-11-16 02:35:20
"# Parameters: S0=150, K=140, T=0.5, r=0.04, sigma=0.25, option_type=call"

steps,binomial_prices,bs_prices,error,relative_error
1,19.604094719995814,17.752141494801037,1.8519532251947766,0.10432280667305108
2,18.252286729798787,17.752141494801037,0.5001452349977491,0.028173797237038903
3,17.88911875917363,17.752141494801037,0.13697726437259305,0.007716098050069551
4,18.21027634951876,17.752141494801037,0.4581348547177235,0.02580730076153881
5,17.534665045610442,17.752141494801037,0.2174764491905954,0.012250716301145211
6,18.10972922669644,17.752141494801037,0.3575877318954035,0.020143357464795335
7,17.46431070719979,17.752141494801037,0.2878307876012478,0.016213862856238673
8,18.023833487677106,17.752141494801037,0.27169199287606816,0.015304744667320106
9,17.638344609357993,17.752141494801037,0.113796885443044,0.0064103187480998285
10,17.95394460099911,17.752141494801037,0.2018031061980743,0.011367817581736555
11,17.73228206901928,17.752141494801037,0.019859425781756812,0.0011187059199349511
12,17.896498213639216,17.752141494801037,0.14435671883817847,0.008131791811171366
13,17.785266531370535,17.752141494801037,0.03312503656949772,0.0018659741180633814
14,17.848434051888976,17.752141494801037,0.09629255708793849,0.005424278367550141
15,17.815323084427543,17.752141494801037,0.063181589626506,0.0035590967796763906
16,17.80752912089154,17.752141494801037,0.05538762609050352,0.0031200532119871035
17,17.831712434625484,17.752141494801037,0.07957093982444619,0.004482329067045215
18,17.77219533586198,17.752141494801037,0.020053841060942545,0.0011296575721197126
19,17.83958250243262,17.752141494801037,0.08744100763158258,0.004925659682083477
20,17.74128325675333,17.752141494801037,0.010858238047706692,0.0006116579259401847
21,17.841969762393287,17.752141494801037,0.08982826759224949,0.005060136976632197
22,17.71394427370918,17.752141494801037,0.03819722109185619,0.0021516965208418816
23,17.84074955582714,17.752141494801037,0.08860806102610397,0.004991401237538247
24,17.68953898288846,17.752141494801037,0.06260251191257638,0.0035264766186609313
25,17.837123057881318,17.752141494801037,0.08498156308028015,0.004787116140617074
26,17.667576335108166,17.752141494801037,0.08456515969287182,0.004763659624819795
27,17.831882441594736,17.752141494801037,0.0797409467936987,0.004491905769061831
28,17.68899699081308,17.752141494801037,0.06314450398795657,0.003557007699969568
29,17.825562608091616,17.752141494801037,0.07342111329057843,0.0041359017621666
30,17.711514780687406,17.752141494801037,0.040626714113631834,0.0022885528557515123
31,17.818531665963736,17.752141494801037,0.06639017116269841,0.0037398401303945046
32,17.729563472016068,17.752141494801037,0.022578022784969676,0.001271847838278101
33,17.81104679854531,17.752141494801037,0.05890530374427172,0.0033182083277965625
34,17.74403121108977,17.752141494801037,0.008110283711268096,0.00045686227284991534
35,17.80328980202041,17.752141494801037,0.05114830721937125,0.0028812471573838425
36,17.755601494906276,17.752141494801037,0.0034600001052389473,0.0001949060684454468
37,17.795390280114344,17.752141494801037,0.043248785313306115,0.0024362573566672012
38,17.764807206379523,17.752141494801037,0.012665711578485173,0.0007134751366303893
39,17.78744112471042,17.752141494801037,0.035299629909381736,0.0019884716398705883
40,17.77206864470185,17.752141494801037,0.01992714990081268,0.0011225209029935134
41,17.77950905210449,17.752141494801037,0.027367557303453083,0.0015416482181300805
42,17.777720771988836,17.752141494801037,0.02557927718779851,0.0014409121961589681
43,17.771641898612316,17.752141494801037,0.01950040381127849,0.001098481770043882
44,17.782033048680777,17.752141494801037,0.02989155387973952,0.0016838280546881445
45,17.763873749694795,17.752141494801037,0.011732254893757954,0.0006608923716157799
46,17.78522408379806,17.752141494801037,0.0330825889970221,0.0018635829940129081
47,17.7562285948565,17.752141494801037,0.004087100055460979,0.00023023138119183782
48,17.78747259834603,17.752141494801037,0.035331103544994136,0.001990244588538309
49,17.748722963317714,17.752141494801037,0.0034185314833230507,0.00019257008988601265
50,17.788925728439782,17.752141494801037,0.03678423363874472,0.0020721011968903866
51,17.741367844924998,17.752141494801037,0.01077364987603957,0.0006068929700225059
52,17.789705382894766,17.752141494801037,0.03756388809372879,0.0021160200928282314
53,17.73417010327993,17.752141494801037,0.01797139152110816,0.0010123506240850622
54,17.789913160372212,17.752141494801037,0.037771665571174395,0.002127724454102417
55,17.727133523929858,17.752141494801037,0.025007970871179452,0.0014087298075279192
56,17.78963418786099,17.752141494801037,0.03749269305995284,0.0021120095888675235
57,17.720259597468974,17.752141494801037,0.03188189733206315,0.0017959465533440124
58,17.788940142935218,17.752141494801037,0.03679864813418021,0.002072913183176081
59,17.713548108232246,17.752141494801037,0.03859338656879174,0.0021740130102103094
60,17.787891652332753,17.752141494801037,0.03575015753171584,0.0020138504158602934
61,17.72103311846505,17.752141494801037,0.031108376335986065,0.0017523731627024598
62,17.786540209675742,17.752141494801037,0.034398714874704694,0.001937721986092711
63,17.728255233987404,17.752141494801037,0.023886260813632987,0.00134554249810528
64,17.784929719336837,17.752141494801037,0.03278822453579977,0.001847001081272491
65,17.734657603245424,17.752141494801037,0.017483891555613695,0.0009848891504573743
66,17.783097747335315,17.752141494801037,0.030956252534277695,0.0017438038415446195
67,17.740325911135145,17.752141494801037,0.01181558366589286,0.0006655863840063025
68,17.78107654097731,17.752141494801037,0.028935046176272294,0.0016299467973904065
69,17.745335371540662,17.752141494801037,0.00680612326037533,0.000383397308001888
70,17.778893864705783,17.752141494801037,0.026752369904745166,0.0015069939540860449
71,17.749752219585886,17.752141494801037,0.0023892752151510877,0.00013459081631648893
72,17.776573688905863,17.752141494801037,0.024432194104825555,0.0013762955929559745
73,17.753634960729137,17.752141494801037,0.0014934659280996243,8.41287755923423e-05
